Title,Price,Date,Rating
"
             CeraVe Moisturising Cream for Body and Face, Cream for Dry to Very Dry Skin, with Hyaluronic and 3 Essential Ceramides, 1 x 542 g
            ",€19.09,2024-10-15,"
               


                 4.6 out of 5 stars"
"
             CeraVe Moisturising Cream for Body and Face, Cream for Dry to Very Dry Skin, with Hyaluronic and 3 Essential Ceramides, 1 x 542 g
            ","



                 €19.09 with 9 percent savings
                

                 -9%
                





                   €
                  

                   19
                   
                    .
                   


                   09
                  






                  &euro;35.22 per kg
                 

                  (
                  

                    €35.22
                   

                    €35.22
                   

                  / kg)
                 






                   RRP: €20.90
                  

                   RRP:
                   

                     €20.90
                    

                     €20.90
                    

















                     The
                     
                      RRP
                     
                     is the suggested or recommended retail price of a product set by the manufacturer and provided by a manufacturer, supplier or seller. Amazon displays the RRP as a reference price for price comparison purposes.
                     

                      Learn more
                     








",2024-10-15,"



                4.6
               


                 4.6 out of 5 stars
                







"
